Date,Restaurant,FoodConsumption
1,Punjabi Dhaba Sector 35 Chandigarh,169
2,Punjabi Dhaba Sector 35 Chandigarh,145
3,Punjabi Dhaba Sector 35 Chandigarh,155
4,Punjabi Dhaba Sector 35 Chandigarh,160
5,Punjabi Dhaba Sector 35 Chandigarh,158
6,Punjabi Dhaba Sector 35 Chandigarh,162
7,Punjabi Dhaba Sector 35 Chandigarh,165
8,Punjabi Dhaba Sector 35 Chandigarh,170
9,Punjabi Dhaba Sector 35 Chandigarh,175
10,Punjabi Dhaba Sector 35 Chandigarh,180
11,Punjabi Dhaba Sector 35 Chandigarh,182
12,Punjabi Dhaba Sector 35 Chandigarh,170
13,Punjabi Dhaba Sector 35 Chandigarh,176
14,Punjabi Dhaba Sector 35 Chandigarh,155
15,Punjabi Dhaba Sector 35 Chandigarh,145
16,Punjabi Dhaba Sector 35 Chandigarh,156
17,Punjabi Dhaba Sector 35 Chandigarh,188
18,Punjabi Dhaba Sector 35 Chandigarh,189
19,Punjabi Dhaba Sector 35 Chandigarh,165
20,Punjabi Dhaba Sector 35 Chandigarh,145
21,Punjabi Dhaba Sector 35 Chandigarh,123
22,Punjabi Dhaba Sector 35 Chandigarh,124
23,Punjabi Dhaba Sector 35 Chandigarh,127
24,Punjabi Dhaba Sector 35 Chandigarh,156
25,Punjabi Dhaba Sector 35 Chandigarh,178
26,Punjabi Dhaba Sector 35 Chandigarh,189
27,Punjabi Dhaba Sector 35 Chandigarh,176
28,Punjabi Dhaba Sector 35 Chandigarh,134
29,Punjabi Dhaba Sector 35 Chandigarh,123
30,Punjabi Dhaba Sector 35 Chandigarh,145
31,Punjabi Dhaba Sector 35 Chandigarh,167
32,Punjabi Dhaba Sector 35 Chandigarh,178
33,Punjabi Dhaba Sector 35 Chandigarh,180
34,Punjabi Dhaba Sector 35 Chandigarh,187
35,Punjabi Dhaba Sector 35 Chandigarh,200
36,Punjabi Dhaba Sector 35 Chandigarh,180
37,Punjabi Dhaba Sector 35 Chandigarh,185
38,Punjabi Dhaba Sector 35 Chandigarh,134
39,Punjabi Dhaba Sector 35 Chandigarh,156
40,Punjabi Dhaba Sector 35 Chandigarh,144
41,Punjabi Dhaba Sector 35 Chandigarh,166
42,Punjabi Dhaba Sector 35 Chandigarh,177
43,Punjabi Dhaba Sector 35 Chandigarh,188
44,Punjabi Dhaba Sector 35 Chandigarh,199
45,Punjabi Dhaba Sector 35 Chandigarh,122
46,Punjabi Dhaba Sector 35 Chandigarh,113
47,Punjabi Dhaba Sector 35 Chandigarh,156
48,Punjabi Dhaba Sector 35 Chandigarh,138
49,Punjabi Dhaba Sector 35 Chandigarh,167
50,Punjabi Dhaba Sector 35 Chandigarh,189
51,Punjabi Dhaba Sector 35 Chandigarh,134
52,Punjabi Dhaba Sector 35 Chandigarh,167
53,Punjabi Dhaba Sector 35 Chandigarh,123
54,Punjabi Dhaba Sector 35 Chandigarh,144
55,Punjabi Dhaba Sector 35 Chandigarh,178
56,Punjabi Dhaba Sector 35 Chandigarh,18
57,Punjabi Dhaba Sector 35 Chandigarh,134
58,Punjabi Dhaba Sector 35 Chandigarh,122
59,Punjabi Dhaba Sector 35 Chandigarh,178
60,Punjabi Dhaba Sector 35 Chandigarh,158
1,Katani Dhaba Sector35 D Chandigarh,140
2,Katani Dhaba Sector35 D Chandigarh,135
3,Katani Dhaba Sector35 D Chandigarh,145
4,Katani Dhaba Sector35 D Chandigarh,150
5,Katani Dhaba Sector35 D Chandigarh,141
6,Katani Dhaba Sector35 D Chandigarh,145
7,Katani Dhaba Sector35 D Chandigarh,167
8,Katani Dhaba Sector35 D Chandigarh,189
9,Katani Dhaba Sector35 D Chandigarh,142
10,Katani Dhaba Sector35 D Chandigarh,153
11,Katani Dhaba Sector35 D Chandigarh,162
12,Katani Dhaba Sector35 D Chandigarh,134
13,Katani Dhaba Sector35 D Chandigarh,145
14,Katani Dhaba Sector35 D Chandigarh,198
15,Katani Dhaba Sector35 D Chandigarh,178
16,Katani Dhaba Sector35 D Chandigarh,145
17,Katani Dhaba Sector35 D Chandigarh,178
